Round,Global_Test_Loss,Accuracy,Precision,Recall,F1_Score,Total_Client_Training_Time_sec,Server_Aggregation_Time_sec,Num_Clients
1,0.633409571647644,0.8095238095238095,0.7888222055513878,0.8142857142857143,0.7960372960372961,0.18950414657592773,0.001360177993774414,5
2,0.5190101861953735,0.6857142857142857,0.8398058252427185,0.5285714285714286,0.4586783315107015,0.06714010238647461,0.0013854503631591797,5
3,0.4501466929912567,0.8,0.8846153846153846,0.7,0.7204968944099379,0.06878662109375,0.0014345645904541016,5
4,0.3887523353099823,0.8761904761904762,0.8670804794520548,0.8500000000000001,0.8575305291723202,0.06646323204040527,0.0014014244079589844,5
5,0.35092896819114683,0.8761904761904762,0.8567307692307693,0.8785714285714286,0.8651851851851852,0.06560254096984863,0.0013890266418457031,5
6,0.32624566853046416,0.8571428571428571,0.8373015873015873,0.8642857142857143,0.8462064251537935,0.06605792045593262,0.0013840198516845703,5
7,0.3076261907815933,0.8666666666666667,0.8478994748687172,0.8785714285714286,0.8572261072261071,0.06546401977539062,0.0013818740844726562,5
8,0.2903044730424881,0.8666666666666667,0.8478994748687172,0.8785714285714286,0.8572261072261071,0.07129502296447754,0.0014569759368896484,5
9,0.2809283405542374,0.8761904761904762,0.8586065573770492,0.8928571428571428,0.8681031983766547,0.06589627265930176,0.0014133453369140625,5
10,0.2811433881521225,0.8666666666666667,0.8530814380044021,0.8928571428571428,0.8599466463414633,0.06699395179748535,0.00142669677734375,5
11,0.26283733546733856,0.8761904761904762,0.8610906411201179,0.9,0.8693654895205283,0.06840252876281738,0.0014691352844238281,5
12,0.2531856447458267,0.8952380952380953,0.8781669150521609,0.9142857142857143,0.8883950140110155,0.0696115493774414,0.001394510269165039,5
13,0.26269990503787993,0.8666666666666667,0.8530814380044021,0.8928571428571428,0.8599466463414633,0.07227635383605957,0.0016777515411376953,5
14,0.2382353886961937,0.9142857142857143,0.8968253968253967,0.9285714285714286,0.9077238550922762,0.07020998001098633,0.001438140869140625,5
15,0.23227541595697404,0.9142857142857143,0.8968253968253967,0.9285714285714286,0.9077238550922762,0.06729292869567871,0.001499176025390625,5
16,0.23295005559921264,0.9047619047619048,0.8872843210802701,0.9214285714285715,0.8980186480186481,0.06832456588745117,0.0016918182373046875,5
17,0.23285356163978577,0.9047619047619048,0.8872843210802701,0.9214285714285715,0.8980186480186481,0.06685090065002441,0.0013785362243652344,5
18,0.2208169922232628,0.9142857142857143,0.8968253968253967,0.9285714285714286,0.9077238550922762,0.07498407363891602,0.0014200210571289062,5
19,0.2220221608877182,0.9047619047619048,0.8872843210802701,0.9214285714285715,0.8980186480186481,0.06933069229125977,0.0014717578887939453,5
