Round,Global_Test_Loss,Accuracy,Precision,Recall,F1_Score,Total_Client_Training_Time_sec,Server_Aggregation_Time_sec,Num_Clients
1,1.6456761598587035,0.25333333333333335,0.042222222222222223,0.16666666666666666,0.0673758865248227,0.19290876388549805,0.0019185543060302734,5
2,1.536492681503296,0.25333333333333335,0.042222222222222223,0.16666666666666666,0.0673758865248227,0.09284734725952148,0.0024204254150390625,5
3,1.3838910818099976,0.4666666666666667,0.30757575757575756,0.38717948717948714,0.31965965965965965,0.08899760246276855,0.002627134323120117,5
4,1.2206520080566405,0.56,0.32009752699407873,0.5,0.37393162393162394,0.0921785831451416,0.0017437934875488281,5
5,1.072391653060913,0.7066666666666667,0.5396825396825397,0.6527777777777778,0.5677536231884058,0.09680438041687012,0.0020618438720703125,5
6,0.940083634853363,0.72,0.5472222222222222,0.6666666666666666,0.5790598290598291,0.08993649482727051,0.002640962600708008,5
7,0.8266159772872925,0.72,0.5472222222222222,0.6666666666666666,0.5790598290598291,0.08640480041503906,0.0017397403717041016,5
8,0.7179677963256836,0.72,0.5415982484948002,0.6666666666666666,0.5771367521367522,0.09560751914978027,0.002325296401977539,5
9,0.6225929975509643,0.76,0.7261904761904763,0.75,0.6988304093567251,0.09691190719604492,0.0020499229431152344,5
10,0.5419051110744476,0.76,0.7155745489078823,0.7690058479532164,0.7122522522522523,0.09443831443786621,0.001644134521484375,5
11,0.4709160327911377,0.7733333333333333,0.7283950617283951,0.7777777777777778,0.7234234234234234,0.0852975845336914,0.0019028186798095703,5
12,0.4356119096279144,0.76,0.7205128205128205,0.7690058479532164,0.7174002574002575,0.08544588088989258,0.0020437240600585938,5
13,0.41366015672683715,0.76,0.7205128205128205,0.7690058479532164,0.7174002574002575,0.08394956588745117,0.00200653076171875,5
14,0.36319841742515563,0.8533333333333334,0.9126984126984127,0.8777777777777778,0.844368986983588,0.08501362800598145,0.0020151138305664062,5
15,0.3596516788005829,0.7866666666666666,0.8066239316239318,0.8078947368421052,0.7579910391675098,0.08895158767700195,0.0019683837890625,5
16,0.3176946133375168,0.8666666666666667,0.8928571428571429,0.8833333333333333,0.8647186147186147,0.08433866500854492,0.0015301704406738281,5
17,0.3059294492006302,0.8666666666666667,0.8796296296296297,0.8777777777777778,0.8664529914529915,0.08663511276245117,0.0014996528625488281,5
18,0.2945497155189514,0.8933333333333333,0.9259259259259259,0.9111111111111111,0.8917748917748917,0.08309102058410645,0.002350330352783203,5
19,0.2865598648786545,0.88,0.9007352941176471,0.8944444444444445,0.8792270531400966,0.08365750312805176,0.001678466796875,5
20,0.27384539842605593,0.8933333333333333,0.9085648148148149,0.9055555555555556,0.8931623931623932,0.08712315559387207,0.0014262199401855469,5
21,0.27059960663318633,0.8933333333333333,0.9085648148148149,0.9055555555555556,0.8931623931623932,0.06632280349731445,0.00142669677734375,5
22,0.24977839291095733,0.9333333333333333,0.9307359307359307,0.9333333333333332,0.9315818281335523,0.06909823417663574,0.0016469955444335938,5
23,0.24705270081758499,0.9466666666666667,0.9455128205128206,0.9500000000000001,0.945887445887446,0.06578803062438965,0.0013904571533203125,5
24,0.2424391433596611,0.9333333333333333,0.93482905982906,0.9388888888888888,0.9329039184111648,0.09160470962524414,0.0020689964294433594,5
25,0.23088462203741072,0.9333333333333333,0.9307359307359307,0.9333333333333332,0.9315818281335523,0.08948326110839844,0.002655506134033203,5
26,0.22667111307382584,0.9333333333333333,0.9307359307359307,0.9333333333333332,0.9315818281335523,0.0790262222290039,0.0018963813781738281,5
27,0.22042315751314162,0.92,0.9237472766884531,0.9190058479532164,0.9203858463726885,0.08459115028381348,0.0020904541015625,5
28,0.22474466562271117,0.9466666666666667,0.9474747474747476,0.9523391812865496,0.9494637494637495,0.08723688125610352,0.0020203590393066406,5
29,0.22112332582473754,0.9466666666666667,0.9474747474747476,0.9523391812865496,0.9494637494637495,0.08790349960327148,0.0018258094787597656,5
30,0.20826855897903443,0.92,0.9237472766884531,0.9190058479532164,0.9203858463726885,0.08786869049072266,0.0017077922821044922,5
31,0.2470146521925926,0.9333333333333333,0.935897435897436,0.9412280701754385,0.9354540876280008,0.09163498878479004,0.002031087875366211,5
32,0.20717120841145514,0.92,0.9237472766884531,0.9190058479532164,0.9203858463726885,0.0979914665222168,0.002046823501586914,5
33,0.20944206640124322,0.9466666666666667,0.9474747474747476,0.9523391812865496,0.9494637494637495,0.09123110771179199,0.0019145011901855469,5
34,0.21310551092028618,0.9466666666666667,0.9474747474747476,0.9523391812865496,0.9494637494637495,0.07846355438232422,0.001644134521484375,5
35,0.1981682926416397,0.9333333333333333,0.9354166666666667,0.935672514619883,0.9352804417320547,0.1007075309753418,0.002732992172241211,5
36,0.20957206562161446,0.9466666666666667,0.9464285714285715,0.9523391812865496,0.9479510858821204,0.09230947494506836,0.002672433853149414,5
37,0.19453907534480094,0.9333333333333333,0.9354166666666667,0.935672514619883,0.9352804417320547,0.08683133125305176,0.0018048286437988281,5
38,0.19601886868476867,0.9466666666666667,0.9474747474747476,0.9523391812865496,0.9494637494637495,0.08710741996765137,0.0025243759155273438,5
39,0.1927199400961399,0.92,0.9237472766884531,0.9190058479532164,0.9203858463726885,0.1065058708190918,0.0026361942291259766,5
40,0.19714113920927048,0.9333333333333333,0.935897435897436,0.9412280701754385,0.9354540876280008,0.10342860221862793,0.0019178390502929688,5
41,0.20377678871154786,0.9333333333333333,0.935897435897436,0.9412280701754385,0.9354540876280008,0.09303045272827148,0.0019066333770751953,5
42,0.18860398679971696,0.92,0.9187500000000001,0.9190058479532164,0.918613775065388,0.09737682342529297,0.0021522045135498047,5
43,0.18871589303016661,0.9333333333333333,0.9323232323232323,0.935672514619883,0.9335907335907336,0.09374523162841797,0.0020904541015625,5
