Dataset,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
DERMATOLOGY,GAT,97.3,96.5,96.5,96.5,1.0
DERMATOLOGY,RDBN,78.4,52.1,64.8,57.0,0.98
DERMATOLOGY,HYBRID,93.2,92.8,90.9,91.5,1.0
