Dataset,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
HCV,GAT,91.9,38.3,33.3,35.1,0.78
HCV,RDBN,88.6,17.7,20.0,18.8,0.8
HCV,HYBRID,88.6,17.7,20.0,18.8,0.78
